provid,run_timestamp,t1_passes,t1_gls_period_hr,t1_gls_power,t1_snr,t1_n_obs,t1_reject_reason,t2_passes,t2_to_tier3,t2_mhaov_period_hr,t2_mbls_period_hr,t2_ce_period_hr,t2_consensus_period_hr,t2_F_stat,t2_p_value,t2_mbls_fap,t2_mbls_band_support_frac,t2_mbls_n_bands_supporting,t2_amplitude_mag,t2_agreement,t2_period_spread_pct,t2_mbls_top_periods,t2_mbls_top_powers,t3_ran,t3_publish_tentative,t3_needs_followup,t3_adopted_period_hr,t3_clean_period_hr,t3_ci_lo,t3_ci_hi,t3_ci_width,t3_clean_peak_ratio,final_period_hr,final_period_unc_hr,reliability,r_code,r_flag,alias_risk,alias_note,window_alias_risk,window_alias_note,lcdb_agreement,lcdb_delta_pct,reliability_notes,period_exceeds_grid,n_cycles,regime,n_nights,n_seasons,obs_per_night_median,night_duration_hr,reliability_ceiling,recommended_methods,lcdb_period_hr,lcdb_u_code,n_bands,baseline_hr,bands_used
2025 MH86,2026-03-23T01:10:12.131951+00:00,True,2.416208104052026,0.48527839696141783,12.755408172168435,455,,True,False,2.1939284508551604,2.194869950425522,,2.194869950425522,113.38433641456389,1.1102230246251565e-16,0.0,1.0,3,1.2500300008725067,mbls_confirmed,0.0004289546039748938,2.1949|4.3904|2.4185|2.0099|4.0171,0.568543|0.544257|0.513376|0.503374|0.509186,False,,,,,,,,,2.194869950425522,0.0009414995703611746,confirmed,2,2,False,,False,,no_prior,,"MHAOV confirms MBLS period (spread=0.0%), both gates significant (MHAOV p=1.11e-16, MBLS FAP=0.0000). Dense regime. High confidence.",False,131.6,dense,7,1,37.0,2.6909016664722003,high,"gls,mbls,mhaov,ce,clean",,0,3,288.8520455552498,"Lg,Li,Lr"
2025 MJ13,2026-03-23T01:10:33.134552+00:00,True,2.416208104052026,0.49369629049641905,10.03469989681667,113,,True,False,4.393272626677364,3.4182190559948067,,3.4182190559948067,36.73881853405317,1.1102230246251565e-16,0.0,1.0,3,0.9934352897848504,mbls_sig_only,0.285251926430005,3.4177|4.3877|4.1971|2.1976|2.4205,0.573505|0.553841|0.552395|0.539216|0.545063,False,,,,,,,,,3.4182190559948067,0.9750535706822718,confirmed,2,2,False,,False,,no_prior,,"MBLS significant (FAP=0.0000) — multi-band evidence. MHAOV (p=1.11e-16) does not confirm this period; single-band series less sensitive. Period adopted from MBLS. Moderate confidence (R=2, no independent confirmation). [R capped at 2: consensus period has window contamination=0.51]",False,70.4,dense,5,1,26.0,1.7591736112372018,high,"gls,mbls,mhaov,ce,clean",,0,3,240.48538083321182,"Lg,Li,Lr"
2025 MJ21,2026-03-23T01:11:02.572507+00:00,True,1.690708618986662,0.6201620761868323,11.147156313970587,256,,True,False,1.691397426323755,1.691397426323755,,1.691397426323755,106.99825651522848,1.1102230246251565e-16,0.0,1.0,3,0.5907992846404411,mbls_confirmed,0.0,3.3847|3.6396|1.6914|1.8179|3.1653,0.621496|0.613833|0.626493|0.616539|0.604023,False,,,,,,,,,1.691397426323755,0.0,confirmed,2,2,False,,False,,no_prior,,"MHAOV confirms MBLS period (spread=0.0%), both gates significant (MHAOV p=1.11e-16, MBLS FAP=0.0000). Dense regime. High confidence.",False,57.9,dense,4,1,75.5,2.7793223609332927,high,"gls,mbls,mhaov,ce,clean",,0,3,97.90844388882397,"Lg,Li,Lr"
2025 MJ23,2026-03-23T01:11:17.781706+00:00,True,3.1803401700850427,0.682054654747031,12.991785214184372,121,,True,False,3.198936069029159,2.8294572082011427,,2.8294572082011427,77.4961743147122,1.1102230246251565e-16,0.0,1.0,3,1.0913099579914873,mbls_sig_only,0.13058294706029003,3.2019|2.8295|5.6601|2.5374|3.6846,0.788291|0.791566|0.754043|0.729670|0.714152,False,,,,,,,,,2.8294572082011427,0.36947886082788584,confirmed,2,2,False,,False,,no_prior,,"MBLS significant (FAP=0.0000) — multi-band evidence. MHAOV (p=1.11e-16) does not confirm this period; single-band series less sensitive. Period adopted from MBLS. Moderate confidence (R=2, no independent confirmation).",False,18.0,dense,3,1,43.0,2.726570277591236,high,"gls,mbls,mhaov,ce,clean",,0,3,51.03205916681327,"Lg,Li,Lr"
2025 MJ30,2026-03-23T01:11:48.799612+00:00,True,2.804152076038019,0.6159964000655949,11.390101502517723,270,,True,False,2.50556740770329,11.202637128141376,,11.202637128141376,139.22345497961493,1.1102230246251565e-16,0.0,1.0,3,1.0364992367291128,mbls_sig_only,0.7763412865163684,2.8013|2.5065|5.0132|5.6023|2.2682,0.688004|0.678325|0.675906|0.691919|0.621677,False,,,,,,,,,11.202637128141376,8.69706972043731,confirmed,2,2-cadence_alias_soft,False,,True,cadence alias: period 11.203hr sits on window peak (contamination=0.58 > 0.5). This alias arises from the specific observation gaps for this asteroid — not in fixed daily/annual list.,no_prior,,"MBLS significant (FAP=0.0000) — multi-band evidence. MHAOV (p=1.11e-16) does not confirm this period; single-band series less sensitive. Period adopted from MBLS. Moderate confidence (R=2, no independent confirmation). [R capped at 2: consensus period has window contamination=0.59]",False,25.8,dense,7,1,27.0,2.6909327778266743,high,"gls,mbls,mhaov,ce,clean",,0,3,288.87647027755156,"Lg,Li,Lr"
2025 MJ71,2026-03-23T01:12:09.939830+00:00,True,18.76863431715858,0.0896475315365462,8.064744124907469,243,,True,False,7.083641633778168,18.124104293831277,,18.124104293831277,6.929700205908093,2.716143633418877e-05,0.0,0.6666666666666666,2,1.1855173863613977,mbls_sig_only,0.6091590779363499,18.1424|10.3269|4.5082|5.5718|7.0791,0.120142|0.112661|0.112880|0.101025|0.104864,False,,,,,,,,,18.124104293831277,11.040462660052501,confirmed,2,2,False,,False,,no_prior,,"MBLS significant (FAP=0.0000) — multi-band evidence. MHAOV (p=2.72e-05) does not confirm this period; single-band series less sensitive. Period adopted from MBLS. Moderate confidence (R=2, no independent confirmation).",False,8.0,dense,5,1,49.0,2.724945555324666,high,"gls,mbls,mhaov,ce,clean",,0,3,144.51624472194817,"Lg,Li,Lr"
2025 MJ79,2026-03-23T01:12:41.144494+00:00,True,0.49271938154273803,0.2636058451684039,3.163117347717483,56,,True,False,0.4876660498390014,0.4876660498390014,,0.4876660498390014,6.333650256500878,0.00032335470436772873,0.08,1.0,3,0.5978291787186043,mbls_confirmed,0.0,0.4877|0.4927|0.4826|0.4980|0.0949,0.338900|0.331832|0.314483|0.304152|0.291702,False,,,,,,,,,0.4876660498390014,0.0,confirmed,2,2,False,,False,,no_prior,,"MHAOV confirms MBLS period (spread=0.0%), one gate significant (MHAOV p=3.23e-04, MBLS FAP=0.0800), sparse regime. Moderate confidence.",False,295.8,sparse,4,1,8.0,1.980464444583049,medium,"mbls,mhaov,clean",,0,2,144.23279750015354,"Lg,Li,Lr"
2025 MK23,2026-03-23T01:13:00.823291+00:00,True,15.958979489744873,0.38517961528201655,17.112578869296048,106,,True,False,6.174902876562405,12.36115534220089,,12.36115534220089,25.321654546313297,1.532107773982716e-14,0.0,1.0,3,1.360450020109036,mbls_confirmed,0.5004590828592022,7.1056|5.4735|3.0850|6.1840|2.7360,0.619777|0.609481|0.598202|0.665993|0.581105,False,,,,,,,,,12.36115534220089,6.186252465637985,confirmed,-1,-1-alias,True,"0.5-day alias (12.0hr, Δ=3.0%)",True,cadence alias: period 12.361hr sits on window peak (contamination=0.98 > 0.5). This alias arises from the specific observation gaps for this asteroid — not in fixed daily/annual list.,no_prior,,"Period 12.361hr is close to known alias: 0.5-day alias (12.0hr, Δ=3.0%). Independent confirmation required.",False,23.4,sparse,7,1,14.0,2.1479952777153812,medium,"mbls,mhaov,clean",,0,3,289.04050805582665,"Lg,Li,Lr"
2025 MK41,2026-03-23T01:14:10.656230+00:00,True,0.06276326507693342,0.09918482909618327,12.459554986309328,402,,True,False,0.06276286704613826,0.06276286704613826,,0.06276286704613826,36.58845045637786,1.1102230246251565e-16,0.0,1.0,3,0.5855990843565384,mbls_confirmed,0.0,0.0628|0.0632|0.1256|0.0316|0.1265,0.303979|0.103097|0.076729|0.069979|0.058098,False,,,,,,,,,0.06276286704613826,0.0,confirmed,2,2,False,,False,,no_prior,,"MHAOV confirms MBLS period (spread=0.0%), both gates significant (MHAOV p=1.11e-16, MBLS FAP=0.0000). Dense regime. High confidence.",False,4606.0,dense,7,1,30.0,2.1402383329113945,high,"gls,mbls,mhaov,ce,clean",,0,3,289.086698333791,"Lg,Li,Lr"
2025 MK68,2026-03-23T01:14:26.791591+00:00,True,2.827663831915958,0.4650072725667654,18.189111201214974,135,,True,False,2.531657173836212,11.110181828658659,,11.110181828658659,72.63343083683483,1.1102230246251565e-16,0.0,1.0,3,0.9822120048656087,mbls_sig_only,0.7721317965016029,2.8188|2.5267|5.5575|3.1894|2.2862,0.737498|0.731637|0.744209|0.683803|0.653410,False,,,,,,,,,11.110181828658659,8.578524654821674,confirmed,2,2-cadence_alias_soft,False,,True,cadence alias: period 11.110hr sits on window peak (contamination=0.99 > 0.5). This alias arises from the specific observation gaps for this asteroid — not in fixed daily/annual list.,no_prior,,"MBLS significant (FAP=0.0000) — multi-band evidence. MHAOV (p=1.11e-16) does not confirm this period; single-band series less sensitive. Period adopted from MBLS. Moderate confidence (R=2, no independent confirmation). [R capped at 2: consensus period has window contamination=0.99]",False,4.6,dense,3,1,43.0,2.903363888792228,high,"gls,mbls,mhaov,ce,clean",,0,3,51.03212888870621,"Lg,Li,Lr"
